batch,phrase,forecast_queries,traffic_volume,avg_bid_rub,charged_amount_rub,ctr_percent,impressions,clicks,budget_rub,region,period,platforms,currency,captured_at,source
2,крепление vesa -стандарт,5512,85,74.20,14.40,5.77,4196,242,3484.80,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,крепление vesa -стандарт,5512,62,51.80,12.00,5.58,4137,231,2772.00,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,крепление vesa -стандарт,5512,9,71.60,11.10,0.58,2569,15,166.50,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,крепление vesa -стандарт,5512,5,64.10,10.50,0.59,2554,15,157.50,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,крепление для телевизора,20363,100,186.20,18.70,5.53,15945,881,16474.70,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,крепление для телевизора,20363,85,71.20,13.30,5.28,15669,827,10999.10,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,крепление для телевизора,20363,62,53.30,11.60,5.12,15486,793,9198.80,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,крепление для телевизора,20363,9,72.30,12.90,0.50,11721,59,761.10,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,крепление для телевизора,20363,5,68.90,12.80,0.50,11682,58,742.40,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн vesa -200x200,5343,100,276.90,27.90,7.17,4002,287,8007.30,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн vesa -200x200,5343,85,94.60,17.30,6.94,3919,272,4705.60,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн vesa -200x200,5343,62,57.70,13.70,6.70,3851,258,3534.60,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн vesa -200x200,5343,9,125.40,14.50,0.68,2193,15,217.50,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн vesa -200x200,5343,5,114.10,14.20,0.69,2186,15,213.00,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн vesa 200x200,482,100,251.90,20.50,8.94,414,37,758.50,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн vesa 200x200,482,85,63.50,12.40,8.60,407,35,434.00,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн vesa 200x200,482,62,43.10,9.90,8.42,392,33,326.70,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн vesa 200x200,482,9,80.00,10.60,1.13,266,3,31.80,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн vesa 200x200,482,5,70.20,10.80,1.14,263,3,32.40,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн для тв,11124,100,303.20,29.80,6.91,8715,602,17939.60,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн для тв,11124,85,105.60,18.80,6.54,8572,561,10546.80,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн для тв,11124,62,66.50,14.60,6.26,8417,527,7694.20,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн для тв,11124,9,123.00,20.90,0.98,5095,50,1045.00,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн для тв,11124,5,101.60,18.50,0.97,5040,49,906.50,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн для телевизора -повесить,82222,100,258.50,25.40,6.27,64119,4019,102082.60,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн для телевизора -повесить,82222,85,97.50,17.30,5.96,63069,3756,64978.80,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн для телевизора -повесить,82222,62,62.10,13.90,5.72,62119,3555,49414.50,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн для телевизора -повесить,82222,9,97.50,16.30,0.56,42727,240,3912.00,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,кронштейн для телевизора -повесить,82222,5,92.00,15.90,0.56,42562,238,3784.20,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,стандарт крепления vesa,772,100,124.40,17.80,6.07,610,37,658.60,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,стандарт крепления vesa,772,85,66.50,13.60,5.79,604,35,476.00,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,стандарт крепления vesa,772,62,42.70,10.10,5.42,590,32,323.20,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,стандарт крепления vesa,772,9,56.90,6.10,0.84,358,3,18.30,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
2,стандарт крепления vesa,772,5,56.90,6.10,0.84,358,3,18.30,Россия,30 дней,все,RUB,2026-07-30T08:59:09.327Z,Яндекс Директ — Оценка бюджета кампании
